"Year" "FID" "Sex" "AllCause"
"221" 1996 "DE909" "f" 925.774827471764
"222" 1996 "DE909" "m" 1507.63793594991
"223" 1996 "DE910" "f" 830.141968283953
"224" 1996 "DE910" "m" 1296.96463947617
"225" 1996 "DE911" "f" 939.584030073509
"226" 1996 "DE911" "m" 1557.75632418773
"227" 1996 "DE912" "f" 949.418665103061
"228" 1996 "DE912" "m" 1550.72492153693
"229" 1996 "DE913" "f" 838.532123087971
"230" 1996 "DE913" "m" 1329.12496392073
"231" 1996 "DE914" "f" 938.693483282754
"232" 1996 "DE914" "m" 1580.19580715241
"233" 1996 "DE915" "f" 922.311512302481
"234" 1996 "DE915" "m" 1510.68632836077
"235" 1996 "DE916" "f" 869.322712283743
"236" 1996 "DE916" "m" 1396.94940893916
"237" 1996 "DE917" "f" 921.591723713942
"238" 1996 "DE917" "m" 1485.71007536041
"239" 1996 "DE918" "f" 863.793884681839
"240" 1996 "DE918" "m" 1403.13166531303
"241" 1996 "DK01" "f" 1021.68666205838
"242" 1996 "DK01" "m" 1649.34828217556
"243" 1996 "DK02" "f" 1019.16154347368
"244" 1996 "DK02" "m" 1606.56021734587
"245" 1996 "DK03" "f" 958.506185767186
"246" 1996 "DK03" "m" 1523.05713036908
"247" 1996 "DK04" "f" 993.843327015605
"248" 1996 "DK04" "m" 1513.43648678406
"249" 1996 "DK05" "f" 1003.2877618167
"250" 1996 "DK05" "m" 1519.83546252746
"251" 1996 "FR101" "f" 742.944967687844
"252" 1996 "FR101" "m" 1221.65953209437
"253" 1996 "FR102" "f" 732.144499526642
"254" 1996 "FR102" "m" 1332.70415791791
"255" 1996 "FR103" "f" 688.553704739857
"256" 1996 "FR103" "m" 1211.24113682664
"257" 1996 "FR104" "f" 702.359985111316
"258" 1996 "FR104" "m" 1240.95870916653
"259" 1996 "FR105" "f" 691.31761975087
"260" 1996 "FR105" "m" 1219.77050959758
"261" 1996 "FR106" "f" 816.313639381941
"262" 1996 "FR106" "m" 1414.56617152008
"263" 1996 "FR107" "f" 731.869754784853
"264" 1996 "FR107" "m" 1289.89134704587
"265" 1996 "FR108" "f" 751.166242768124
"266" 1996 "FR108" "m" 1324.09021500872
"267" 1996 "FRB01" "f" 730.887049015101
"268" 1996 "FRB01" "m" 1380.72894996397
"269" 1996 "FRB02" "f" 725.224755654535
"270" 1996 "FRB02" "m" 1292.88230394036
"271" 1996 "FRB03" "f" 700.283199172661
"272" 1996 "FRB03" "m" 1348.26077848183
"273" 1996 "FRB04" "f" 662.637235228574
"274" 1996 "FRB04" "m" 1229.36146464169
"275" 1996 "FRB05" "f" 669.352102585602
"276" 1996 "FRB05" "m" 1242.8582214143
"277" 1996 "FRB06" "f" 679.907148225567
"278" 1996 "FRB06" "m" 1249.71911508686
"279" 1996 "FRC11" "f" 676.984971175321
"280" 1996 "FRC11" "m" 1294.14354990467
"281" 1996 "FRC12" "f" 765.075933009069
"282" 1996 "FRC12" "m" 1492.50594362294
"283" 1996 "FRC13" "f" 698.639682115167
"284" 1996 "FRC13" "m" 1348.15900573463
"285" 1996 "FRC14" "f" 762.546325295994
"286" 1996 "FRC14" "m" 1410.49032285648
"287" 1996 "FRC21" "f" 729.82957622123
"288" 1996 "FRC21" "m" 1302.6590963098
"289" 1996 "FRC22" "f" 704.43425066643
"290" 1996 "FRC22" "m" 1295.41127558922
"291" 1996 "FRC23" "f" 744.563114264724
"292" 1996 "FRC23" "m" 1408.98757831147
"293" 1996 "FRC24" "f" 743.858960747224
"294" 1996 "FRC24" "m" 1393.91426054191
"295" 1996 "FRD11" "f" 713.250805484025
"296" 1996 "FRD11" "m" 1415.40909441345
"297" 1996 "FRD12" "f" 731.379100607527
"298" 1996 "FRD12" "m" 1405.51241960949
"299" 1996 "FRD13" "f" 713.481992875605
"300" 1996 "FRD13" "m" 1330.69867209338
"301" 1996 "FRD21" "f" 756.746807497679
"302" 1996 "FRD21" "m" 1430.67950645533
"303" 1996 "FRD22" "f" 778.995082016589
"304" 1996 "FRD22" "m" 1478.20667441366
"305" 1996 "FRE11" "f" 894.077143984769
"306" 1996 "FRE11" "m" 1709.49340355826
"307" 1996 "FRE12" "f" 879.734669403464
"308" 1996 "FRE12" "m" 1760.78264752856
"309" 1996 "FRE21" "f" 845.673474750608
"310" 1996 "FRE21" "m" 1599.45591205113
"311" 1996 "FRE22" "f" 780.913375204451
"312" 1996 "FRE22" "m" 1441.73718679667
"313" 1996 "FRE23" "f" 813.571400674427
"314" 1996 "FRE23" "m" 1506.28790466976
"315" 1996 "FRF11" "f" 790.225789689889
"316" 1996 "FRF11" "m" 1462.10893709925
"317" 1996 "FRF12" "f" 816.132031363124
"318" 1996 "FRF12" "m" 1461.37655647859
"319" 1996 "FRF21" "f" 822.646875463303
"320" 1996 "FRF21" "m" 1547.6061251596
"321" 1996 "FRF22" "f" 706.495597865544
"322" 1996 "FRF22" "m" 1411.32406572831
"323" 1996 "FRF23" "f" 753.759141850357
"324" 1996 "FRF23" "m" 1420.806743568
"325" 1996 "FRF24" "f" 734.557687348116
"326" 1996 "FRF24" "m" 1434.51345040594
"327" 1996 "FRF31" "f" 789.405436515623
"328" 1996 "FRF31" "m" 1474.48557423298
"329" 1996 "FRF32" "f" 780.162310138398
"330" 1996 "FRF32" "m" 1504.35616150404
"331" 1996 "FRF33" "f" 851.122566342342
"332" 1996 "FRF33" "m" 1572.10458212254
"333" 1996 "FRF34" "f" 762.634267547531
"334" 1996 "FRF34" "m" 1503.18483391506
"335" 1996 "FRG01" "f" 710.740037580179
"336" 1996 "FRG01" "m" 1385.42556801287
"337" 1996 "FRG02" "f" 662.040375956513
"338" 1996 "FRG02" "m" 1244.97441929079
"339" 1996 "FRG03" "f" 654.644040677843
"340" 1996 "FRG03" "m" 1216.35579212997
"341" 1996 "FRG04" "f" 666.063960560121
"342" 1996 "FRG04" "m" 1257.34194238464
"343" 1996 "FRG05" "f" 666.317684920963
"344" 1996 "FRG05" "m" 1329.08050369235
"345" 1996 "FRH01" "f" 744.766296195345
"346" 1996 "FRH01" "m" 1533.47376290039
"347" 1996 "FRH02" "f" 788.219649413923
"348" 1996 "FRH02" "m" 1577.08567025479
"349" 1996 "FRH03" "f" 720.980703305382
"350" 1996 "FRH03" "m" 1338.36703272018
"351" 1996 "FRH04" "f" 736.52932938092
"352" 1996 "FRH04" "m" 1502.62047194481
"353" 1996 "FRI11" "f" 699.628168494904
"354" 1996 "FRI11" "m" 1302.34848386242
"355" 1996 "FRI12" "f" 698.981120337132
"356" 1996 "FRI12" "m" 1328.30637496192
"357" 1996 "FRI13" "f" 692.238801525333
"358" 1996 "FRI13" "m" 1317.49075589811
"359" 1996 "FRI14" "f" 678.507653096703
"360" 1996 "FRI14" "m" 1200.16238065836
"361" 1996 "FRI15" "f" 681.389424628506
"362" 1996 "FRI15" "m" 1330.86359377652
"363" 1996 "FRI21" "f" 697.507307874657
"364" 1996 "FRI21" "m" 1360.27751509065
"365" 1996 "FRI22" "f" 715.67222485132
"366" 1996 "FRI22" "m" 1427.01251756702
"367" 1996 "FRI23" "f" 716.548460315015
"368" 1996 "FRI23" "m" 1287.40967331086
"369" 1996 "FRI31" "f" 687.855426573395
"370" 1996 "FRI31" "m" 1294.92494207773
"371" 1996 "FRI32" "f" 672.657565733101
"372" 1996 "FRI32" "m" 1248.39507534716
"373" 1996 "FRI33" "f" 700.621298462425
"374" 1996 "FRI33" "m" 1242.06803400479
"375" 1996 "FRI34" "f" 636.91269042319
"376" 1996 "FRI34" "m" 1223.97897589372
"377" 1996 "FRJ11" "f" 685.894918073918
"378" 1996 "FRJ11" "m" 1261.53259326715
"379" 1996 "FRJ12" "f" 720.840219997193
"380" 1996 "FRJ12" "m" 1301.50312300051
"381" 1996 "FRJ13" "f" 690.849396167122
"382" 1996 "FRJ13" "m" 1258.29216142351
"383" 1996 "FRJ14" "f" 695.42187173749
"384" 1996 "FRJ14" "m" 1264.43902766597
"385" 1996 "FRJ15" "f" 705.547677843839
"386" 1996 "FRJ15" "m" 1267.92755026725
"387" 1996 "FRJ21" "f" 704.657071397049
"388" 1996 "FRJ21" "m" 1297.89007471625
"389" 1996 "FRJ22" "f" 695.639418332381
"390" 1996 "FRJ22" "m" 1201.6368055559
"391" 1996 "FRJ23" "f" 687.017418115789
"392" 1996 "FRJ23" "m" 1214.37953722682
"393" 1996 "FRJ24" "f" 656.268146633137
"394" 1996 "FRJ24" "m" 1202.79515578315
"395" 1996 "FRJ25" "f" 681.878965098452
"396" 1996 "FRJ25" "m" 1223.69199525162
"397" 1996 "FRJ26" "f" 697.567472992459
"398" 1996 "FRJ26" "m" 1330.26606615567
"399" 1996 "FRJ27" "f" 668.582850451577
"400" 1996 "FRJ27" "m" 1159.65199114754
"401" 1996 "FRJ28" "f" 703.738513795106
"402" 1996 "FRJ28" "m" 1197.07816789219
"403" 1996 "FRK11" "f" 735.112062294833
"404" 1996 "FRK11" "m" 1419.49617866079
"405" 1996 "FRK12" "f" 714.695952913812
"406" 1996 "FRK12" "m" 1347.19056506507
"407" 1996 "FRK13" "f" 736.750444993365
"408" 1996 "FRK13" "m" 1409.39472173099
"409" 1996 "FRK14" "f" 758.520168868097
"410" 1996 "FRK14" "m" 1449.63454600928
"411" 1996 "FRK21" "f" 694.526579709851
"412" 1996 "FRK21" "m" 1282.32165939245
"413" 1996 "FRK22" "f" 671.457265685958
"414" 1996 "FRK22" "m" 1274.02645517278
"415" 1996 "FRK23" "f" 688.204699180043
"416" 1996 "FRK23" "m" 1274.85705743004
"417" 1996 "FRK24" "f" 695.075098374538
"418" 1996 "FRK24" "m" 1289.99731226478
"419" 1996 "FRK25" "f" 719.613981740875
"420" 1996 "FRK25" "m" 1375.89209048882
"421" 1996 "FRK26" "f" 690.670958367228
"422" 1996 "FRK26" "m" 1248.25783706626
"423" 1996 "FRK27" "f" 665.118015310045
"424" 1996 "FRK27" "m" 1365.06709488992
"425" 1996 "FRK28" "f" 686.264613685239
"426" 1996 "FRK28" "m" 1228.87068595048
"427" 1996 "FRL01" "f" 624.648477877819
"428" 1996 "FRL01" "m" 1265.86891403976
"429" 1996 "FRL02" "f" 656.695208120087
"430" 1996 "FRL02" "m" 1188.72786080489
"431" 1996 "FRL03" "f" 677.416640367925
"432" 1996 "FRL03" "m" 1219.83010991606
"433" 1996 "FRL04" "f" 730.641153005418
"434" 1996 "FRL04" "m" 1331.49107680457
"435" 1996 "FRL05" "f" 691.709542841434
"436" 1996 "FRL05" "m" 1250.21150683908
"437" 1996 "FRL06" "f" 709.416722017435
"438" 1996 "FRL06" "m" 1309.49094278464
"439" 1996 "FRM01" "f" 706.512875830648
"440" 1996 "FRM01" "m" 1323.12340901204
"441" 1996 "SK010" "f" 1145.57913289505
"442" 1996 "SK010" "m" 1890.62757137831
"443" 1996 "SK021" "f" 1271.77326451838
"444" 1996 "SK021" "m" 2072.84832600622
"445" 1996 "SK022" "f" 1194.88924906481
"446" 1996 "SK022" "m" 1990.28949529454
"447" 1996 "SK023" "f" 1264.96163100121
"448" 1996 "SK023" "m" 2159.81104686102
"449" 1996 "SK031" "f" 1132.29320743988
"450" 1996 "SK031" "m" 2003.62157625669
"451" 1996 "SK032" "f" 1268.71130937561
"452" 1996 "SK032" "m" 2240.11698252236
"453" 1996 "SK041" "f" 1175.37860340407
"454" 1996 "SK041" "m" 1992.32998745914
"455" 1996 "SK042" "f" 1278.39914539826
"456" 1996 "SK042" "m" 2141.80615553888
"457" 1999 "AT11" "f" 882.487251503545
"458" 1999 "AT11" "m" 1458.29671711495
"459" 1999 "AT12" "f" 897.217954743857
"460" 1999 "AT12" "m" 1441.61887306828
"461" 1999 "AT13" "f" 897.410042754667
"462" 1999 "AT13" "m" 1430.13251513308
"463" 1999 "AT21" "f" 800.256389216224
"464" 1999 "AT21" "m" 1337.55526366
"465" 1999 "AT22" "f" 837.273903122549
"466" 1999 "AT22" "m" 1392.30865912016
"467" 1999 "AT31" "f" 834.196744375242
"468" 1999 "AT31" "m" 1393.01630275808
"469" 1999 "AT32" "f" 828.387471014764
"470" 1999 "AT32" "m" 1290.12002238733
"471" 1999 "AT33" "f" 766.025014416142
"472" 1999 "AT33" "m" 1235.25697294747
"473" 1999 "AT34" "f" 767.121251363735
"474" 1999 "AT34" "m" 1271.32620743525
"475" 1999 "CH01" "f" 811.43150673211
"476" 1999 "CH01" "m" 1353.25302795536
"477" 1999 "CH02" "f" 641.24726938165
"478" 1999 "CH02" "m" 1093.67816810235
"479" 1999 "CH03" "f" 737.282557294079
"480" 1999 "CH03" "m" 1164.47227976358
"481" 1999 "CH04" "f" 754.591605599576
