"FID" "Cancer_1996" "CVD_1996" "External_1996" "LungC_1996" "Rest_1996" "Cancer_2017" "CVD_2017" "External_2017" "LungC_2017" "Rest_2017" "AllCn96" "AllCn17"
"55" "DE302" 95.182545824848 244.889511201451 61.0447130974926 90.5342609473492 120.521390999162 64.981985093013 109.07448453776 41.8321543920466 30.3923020954912 70.962509284835 185.716806772197 95.3742871885042
"56" "DE303" 96.169397520497 260.095102460023 65.4675520581605 81.2030271924569 126.699468358074 79.570397693877 146.244168423849 52.0266877432462 44.3462140153386 76.398806929615 177.372424712954 123.916611709216
"57" "DE304" 76.421194099734 226.629102539725 55.2493940501137 83.1137396356329 150.509495623892 54.042030657203 103.78375318352 33.9179669806305 42.1711238934484 88.294570863072 159.534933735367 96.2131545506514
"58" "DE305" 85.557481988568 220.504253384137 55.4544514163306 83.3809209271338 118.487248993533 59.848583937798 114.208705632554 39.4929229752973 40.0034468591488 60.724041125506 168.938402915702 99.8520307969468
"59" "DE306" 88.73006720293 199.858910666007 60.1155193248266 73.164143100801 113.035360986677 61.453091082122 101.817531840309 38.6147594682128 33.0461765597488 64.445972574298 161.894210303731 94.4992676418708
"60" "DE307" 88.172453026953 235.64330416951 63.5464444191897 75.9844889784291 133.719495526189 59.513550355322 116.069112030271 48.3472506099335 36.0590162954817 77.011014763869 164.156942005382 95.5725666508037
"61" "DE308" 92.707009776656 239.51204024804 52.979137519362 83.7266065809777 139.490665570285 72.552685454371 133.486232122845 39.9634816070663 38.7904111711843 87.570224338554 176.433616357634 111.343096625555
"62" "DE309" 78.314393858092 235.025394923466 66.1577680276291 79.337433370609 127.604261361834 60.58332181682 131.824354063855 54.3670316015235 43.8194816704671 73.751826750955 157.651827228701 104.402803487287
"63" "DE310" 69.919276592117 229.479794579422 57.3649141436647 82.4668800277227 139.687303132421 52.714763828523 125.08501001751 41.0735040791088 43.1395538316107 70.48153812834 152.38615661984 95.8543176601337
"64" "DE311" 104.815843351713 269.181849729929 53.0904580858092 90.9365448172459 154.004131175286 58.84876532532 105.475988532789 37.6083224775103 37.6716227293021 79.311406098597 195.752388168959 96.5203880546221
