"Year" "FID" "SDR_f" "SDR_m" "Gap"
"50" 1996 "DE1602" 1073.05334325849 1693.20699092 620.153647661512
"51" 1996 "DE1603" 995.533011126795 1688.23832138407 692.705310257274
"52" 1996 "DE1604" 1044.61674785166 1703.44022439844 658.823476546782
"53" 1996 "DE201" 905.332990436852 1475.71205128329 570.379060846438
"54" 1996 "DE301" 892.002915365133 1518.60270848049 626.599793115355
"55" 1996 "DE302" 916.662193234433 1528.83461530474 612.172422070303
"56" 1996 "DE303" 926.755578855676 1556.39012644489 629.634547589211
"57" 1996 "DE304" 876.969341511454 1468.89226746055 591.922925949098
"58" 1996 "DE305" 912.958389828962 1476.34274653866 563.384356709702
"59" 1996 "DE306" 926.637879027474 1461.54188030872 534.904001281242
"60" 1996 "DE307" 876.34372180011 1473.40990792038 597.066186120271
"61" 1996 "DE308" 906.365790172307 1514.78124986763 608.415459695321
"62" 1996 "DE309" 911.903283229273 1498.3425347709 586.43925154163
"63" 1996 "DE310" 866.899869814843 1445.81803829019 578.918168475347
"64" 1996 "DE311" 858.721189413362 1530.75001657334 672.028827159983
"65" 1996 "DE312" 914.720792559169 1541.61910659129 626.898314032117
"66" 1996 "DE313" 900.757990969178 1523.27139478765 622.513403818473
"67" 1996 "DE401" 866.636270297722 1512.44348456548 645.807214267762
"68" 1996 "DE501" 962.665258334943 1595.49205737195 632.826799037005
"69" 1996 "DE502" 921.423634369191 1548.84465543633 627.421021067139
"70" 1996 "DE503" 824.971265522639 1426.02106107272 601.049795550081
"71" 1996 "DE504" 930.588805006407 1610.44412981411 679.855324807698
"72" 1996 "DE505" 878.568728907374 1378.42854331284 499.859814405462
"73" 1996 "DE506" 943.621946868361 1630.60110201708 686.979155148717
"74" 1996 "DE507" 950.742411285145 1614.54814462331 663.805733338167
"75" 1996 "DE508" 925.240397432402 1541.77789691458 616.537499482183
"76" 1996 "DE509" 974.358054490023 1681.69645434218 707.33839985216
"77" 1996 "DE510" 934.990092161815 1499.75518920453 564.765097042716
"78" 1996 "DE511" 817.670413888914 1410.43515695145 592.764743062533
"79" 1996 "DE512" 849.972003947112 1493.94494193946 643.972937992346
"80" 1996 "DE513" 889.827253534182 1507.22479023178 617.397536697599
"81" 1996 "DE601" 923.692535640941 1482.85878395505 559.166248314106
"82" 1996 "DE602" 875.234289317808 1506.96585168158 631.73156236377
"83" 1996 "DE603" 849.016661166264 1364.87188597558 515.855224809316
"84" 1996 "DE604" 875.686793954713 1404.50159422873 528.814800274017
"85" 1996 "DE605" 923.310250896422 1446.71524130233 523.404990405905
"86" 1996 "DE701" 898.054241998275 1483.61386159192 585.559619593648
"87" 1996 "DE702" 892.507429018287 1444.12669423949 551.619265221199
"88" 1996 "DE703" 922.54472841417 1511.68057750764 589.135849093469
"89" 1996 "DE704" 891.307722936507 1501.19477582094 609.887052884436
"90" 1996 "DE705" 938.624669053112 1570.21434965592 631.589680602807
"91" 1996 "DE801" 806.201645350602 1338.554906069 532.353260718395
"92" 1996 "DE802" 834.822446063738 1398.477579741 563.655133677266
"93" 1996 "DE803" 864.787878574876 1418.42557143583 553.637692860954
"94" 1996 "DE804" 837.625138098534 1378.28854352317 540.66340542464
"95" 1996 "DE805" 868.607638538827 1438.98383085625 570.376192317423
"96" 1996 "DE806" 820.347202898971 1382.8215457443 562.474342845325
"97" 1996 "DE807" 849.627253723745 1415.5339635928 565.906709869051
"98" 1996 "DE808" 903.894735253536 1440.44020689728 536.545471643744
"99" 1996 "DE809" 836.453727032781 1366.4128329508 529.959105918018
"100" 1996 "DE810" 822.249851357173 1345.68561819303 523.435766835855
"101" 1996 "DE811" 804.265109138139 1362.22079032371 557.955681185573
"102" 1996 "DE812" 909.748561425465 1503.66225063242 593.913689206954
"103" 1996 "DE901" 830.363337640538 1347.75414927169 517.39081163115
"104" 1996 "DE902" 915.829703637663 1489.90732934556 574.077625707893
"105" 1996 "DE903" 894.528887318046 1388.45619560212 493.927308284072
"106" 1996 "DE904" 892.421714133947 1450.46682893959 558.045114805645
"107" 1996 "DE905" 916.572327994233 1572.5672203724 655.994892378172
"108" 1996 "DE906" 914.172660161436 1473.22505239337 559.052392231938
"109" 1996 "DE907" 842.209311419271 1414.00502401226 571.795712592988
"110" 1996 "DE908" 911.214273978696 1453.660198902 542.445924923308
"111" 1996 "DE909" 925.774827471764 1507.63793594991 581.86310847815
"112" 1996 "DE910" 830.141968283953 1296.96463947617 466.822671192221
"113" 1996 "DE911" 939.584030073509 1557.75632418773 618.172294114217
"114" 1996 "DE912" 949.418665103061 1550.72492153693 601.306256433868
"115" 1996 "DE913" 838.532123087971 1329.12496392073 490.592840832761
"116" 1996 "DE914" 938.693483282754 1580.19580715241 641.502323869653
"117" 1996 "DE915" 922.311512302481 1510.68632836077 588.374816058294
"118" 1996 "DE916" 869.322712283743 1396.94940893916 527.62669665542
"119" 1996 "DE917" 921.591723713942 1485.71007536041 564.118351646463
"120" 1996 "DE918" 863.793884681839 1403.13166531303 539.337780631194
"121" 1996 "DK01" 1021.68666205838 1649.34828217556 627.661620117175
"122" 1996 "DK02" 1019.16154347368 1606.56021734587 587.398673872195
"123" 1996 "DK03" 958.506185767186 1523.05713036908 564.550944601893
