"Cause" "Contr" "FID" "Country"
"205" "Sum" 100 "DE1203" "DE"
"206" "LungC" 15.4638419414494 "DE1204" "DE"
"207" "Cancer" 5.17253206610935 "DE1204" "DE"
"208" "CVD" 53.7230991667311 "DE1204" "DE"
"209" "External" 12.9442959732159 "DE1204" "DE"
"210" "Rest" 12.6962308524943 "DE1204" "DE"
"211" "Sum" 99.9999999999999 "DE1204" "DE"
"212" "LungC" 20.339780151243 "DE1205" "DE"
"213" "Cancer" 1.65312150400508 "DE1205" "DE"
"214" "CVD" 54.6471697699274 "DE1205" "DE"
"215" "External" 15.104464018799 "DE1205" "DE"
"216" "Rest" 8.25546455602547 "DE1205" "DE"
"217" "Sum" 100 "DE1205" "DE"
"218" "LungC" 20.2809877795694 "DE1301" "DE"
"219" "Cancer" -3.12942310612775 "DE1301" "DE"
"220" "CVD" 50.6576400839863 "DE1301" "DE"
"221" "External" 14.0870820136779 "DE1301" "DE"
"222" "Rest" 18.1037132288942 "DE1301" "DE"
"223" "Sum" 100 "DE1301" "DE"
"224" "LungC" 15.0023792339852 "DE1302" "DE"
"225" "Cancer" 2.66776153472504 "DE1302" "DE"
"226" "CVD" 57.5675426623877 "DE1302" "DE"
"227" "External" 14.0499060311364 "DE1302" "DE"
"228" "Rest" 10.7124105377658 "DE1302" "DE"
"229" "Sum" 100 "DE1302" "DE"
"230" "LungC" 17.8208310092108 "DE1303" "DE"
"231" "Cancer" 1.4755519619671 "DE1303" "DE"
"232" "CVD" 52.5009134479608 "DE1303" "DE"
"233" "External" 13.2630584492389 "DE1303" "DE"
"234" "Rest" 14.9396451316224 "DE1303" "DE"
"235" "Sum" 100 "DE1303" "DE"
"236" "LungC" 17.572621955286 "DE1304" "DE"
"237" "Cancer" 5.11631749154679 "DE1304" "DE"
"238" "CVD" 49.5107120954018 "DE1304" "DE"
"239" "External" 12.1472692619853 "DE1304" "DE"
"240" "Rest" 15.65307919578 "DE1304" "DE"
"241" "Sum" 100 "DE1304" "DE"
"242" "LungC" 15.7020343477574 "DE1401" "DE"
"243" "Cancer" -5.23564271109855 "DE1401" "DE"
"244" "CVD" 71.1280942322615 "DE1401" "DE"
"245" "External" 5.09698624103826 "DE1401" "DE"
"246" "Rest" 13.3085278900414 "DE1401" "DE"
"247" "Sum" 100 "DE1401" "DE"
"248" "LungC" 14.488694073141 "DE1402" "DE"
"249" "Cancer" -3.04691466771242 "DE1402" "DE"
"250" "CVD" 63.7905860042239 "DE1402" "DE"
"251" "External" 10.1252699098361 "DE1402" "DE"
"252" "Rest" 14.6423646805114 "DE1402" "DE"
"253" "Sum" 100 "DE1402" "DE"
"254" "LungC" 18.0408527985759 "DE1403" "DE"
"255" "Cancer" -3.02280097143858 "DE1403" "DE"
"256" "CVD" 69.3136230303037 "DE1403" "DE"
"257" "External" 5.01201018204596 "DE1403" "DE"
"258" "Rest" 10.656314960513 "DE1403" "DE"
"259" "Sum" 100 "DE1403" "DE"
"260" "LungC" 14.1274461433651 "DE1404" "DE"
"261" "Cancer" -3.54255034178182 "DE1404" "DE"
"262" "CVD" 67.6561937761305 "DE1404" "DE"
"263" "External" 4.91918428505032 "DE1404" "DE"
"264" "Rest" 16.839726137236 "DE1404" "DE"
"265" "Sum" 100 "DE1404" "DE"
"266" "LungC" 18.1701902326228 "DE1501" "DE"
"267" "Cancer" -1.5312522671887 "DE1501" "DE"
"268" "CVD" 60.3824406999811 "DE1501" "DE"
"269" "External" 11.8715041750763 "DE1501" "DE"
"270" "Rest" 11.1071171595085 "DE1501" "DE"
"271" "Sum" 99.9999999999999 "DE1501" "DE"
"272" "LungC" 19.2995776664016 "DE1502" "DE"
"273" "Cancer" 4.1251368153137 "DE1502" "DE"
"274" "CVD" 56.7060835990148 "DE1502" "DE"
"275" "External" 7.75097899008669 "DE1502" "DE"
"276" "Rest" 12.1182229291832 "DE1502" "DE"
"277" "Sum" 100 "DE1502" "DE"
"278" "LungC" 17.8097515870759 "DE1503" "DE"
"279" "Cancer" -1.7968537273496 "DE1503" "DE"
"280" "CVD" 64.884870511884 "DE1503" "DE"
"281" "External" 7.98024301983052 "DE1503" "DE"
"282" "Rest" 11.1219886085593 "DE1503" "DE"
"283" "Sum" 100 "DE1503" "DE"
"284" "LungC" 24.046901468156 "DE1504" "DE"
"285" "Cancer" -6.01878751843842 "DE1504" "DE"
"286" "CVD" 65.2950896509213 "DE1504" "DE"
"287" "External" 5.38520112318843 "DE1504" "DE"
"288" "Rest" 11.2915952761728 "DE1504" "DE"
"289" "Sum" 100 "DE1504" "DE"
"290" "LungC" 15.3081418935073 "DE1601" "DE"
"291" "Cancer" -0.823829024485843 "DE1601" "DE"
